Part,Link,# Needed,Unit Price,Total Price
ESP32 Board, ESP-WROOM-32 ESP32 ESP-32S Development Board ,1,$9.99 ,$9.99 
5V Power Supply,LRS-50-5 MEAN WELL | Mouser,1,$12.90 ,$12.90 
